Z,N,symb, half_life [s], decay, decay %, decay, decay %, decay, decay %,Binding/A
48,82,Cd,0.162,B-,100,B-N,3.5, , ,8252.586
48,83,Cd,0.068,B-,100,B-N,3.5, , ,8206.175
48,84,Cd,0.097,B-,100,B-N,60, , ,8168
48,85,CD,0.057,B-,100,B-2N, ,B-N, ,8119
48,86,Cd,0.065,B-,100,B-2N, ,B-N, ,8082
49,49,In,0.032,EC+B+, , , , , ,8230
49,50,In,3.1,B+P,0.9, , , , ,8304
49,51,In,5.8,EC+B+,100,ECP,1.7, , ,8331.097
49,52,In,15.1,EC+B+,100,B+P, , , ,8371
49,53,In,23.3,EC+B+,100,B+P,0.0093, , ,8388.571
49,54,In,65,EC+B+,100, , , , ,8423.721
49,55,In,108,EC+B+,100, , , , ,8435.237
49,56,In,304.2,EC+B+,100, , , , ,8464.704
49,57,In,372,EC+B+,100, , , , ,8470.12
49,58,In,1944,EC+B+,100, , , , ,8494.021
49,59,In,3480,EC+B+,100, , , , ,8495.251
49,60,In,14972.4,EC+B+,100, , , , ,8513.102
49,61,In,17712,EC+B+,100, , , , ,8508.908
49,62,In,242326.08,EC,100, , , , ,8522.282
49,63,In,892.8,EC+B+,57.4,B-,42.6, , ,8514.667
49,64,In, , , , , , , ,8522.929
49,65,In,71.9,B-,99.5,EC+B+,0.5, , ,8511.973
49,66,In,1.39166043547951E+022,B-,100, , , , ,8516.546
49,67,In,14.1,B-,99.977,EC,0.023, , ,8501.617
49,68,In,2592,B-,100, , , , ,8503.865
49,69,In,5,B-,100, , , , ,8485.667
49,70,In,144,B-,100, , , , ,8486.143
49,71,In,3.08,B-,100, , , , ,8466.262
49,72,In,23.1,B-,100, , , , ,8463.887
49,73,In,1.5,B-,100, , , , ,8442.118
49,74,In,6.17,B-,100, , , , ,8437.946
49,75,In,3.12,B-,100, , , , ,8414.343
49,76,In,2.36,B-,100, , , , ,8408.452
49,77,In,1.53,B-,100, , , , ,8384.317
49,78,In,1.09,B-,100,B-N,0.03, , ,8374.949
49,79,In,0.84,B-,100,B-N,0.046, , ,8351.09
49,80,In,0.611,B-,100,B-N,0.23, , ,8338.78
49,81,In,0.29,B-,100,B-N,0.93, , ,8313.996
49,82,In,0.28,B-,100,B-N,2, , ,8297.959
49,83,In,0.207,B-,100,B-N,6.3, , ,8253.715
49,84,In,0.165,B-,100,B-N,85, , ,8215
49,85,In,0.14,B-,100,B-N,65, , ,8171
49,86,In,0.101,B-,100,B-N,0,B-2N, ,8132
49,87,In,0.085,B-,100,B-2N, ,B-N, ,8087
49,88,In,0.065,B-,100,B-2N, ,B-N, ,8047
50,49,Sn,0.00000076,EC+B+, ,ECP, , , ,8160
50,50,Sn,1.16,EC+B+,100,ECP,17, , ,8252.974
50,51,Sn,1.7,EC+B+,100,ECP,26, , ,8281.102
50,52,Sn,3.8,EC+B+,100, , , , ,8324.43
50,53,Sn,7,EC+B+,100,ECP,1.2, , ,8341.757
50,54,Sn,20.8,EC+B+,100, , , , ,8383.911
50,55,Sn,34,EC+B+,100,B+P, , , ,8397.228
50,56,Sn,115,EC+B+,100, , , , ,8432.038
50,57,Sn,174,EC+B+,100, , , , ,8439.494
50,58,Sn,618,EC+B+,100, , , , ,8469.027
50,59,Sn,1086,EC+B+,100, , , , ,8470.518
50,60,Sn,14954.4,EC,100, , , , ,8496.087
50,61,Sn,2118,EC+B+,100, , , , ,8493.13
50,62,Sn, , , , , , , ,8513.618
50,63,Sn,9943776,EC+B+,100, , , , ,8506.811
50,64,Sn, , , , , , , ,8522.566
50,65,Sn, , , , , , , ,8514.069
50,66,Sn, , , , , , , ,8523.116
50,67,Sn, , , , , , , ,8509.611
50,68,Sn, , , , , , , ,8516.533
50,69,Sn, , , , , , , ,8499.449
50,70,Sn, , , , , , , ,8504.492
50,71,Sn,97308,B-,100, , , , ,8485.201
50,72,Sn, , , , , , , ,8487.907
50,73,Sn,11162880,B-,100, , , , ,8467.243
50,74,Sn, , , , , , , ,8467.421
50,75,Sn,832896,B-,100, , , , ,8445.55
50,76,Sn,7258092974156.16,B-,100, , , , ,8443.523
50,77,Sn,7560,B-,100, , , , ,8420.557
50,78,Sn,3544.2,B-,100, , , , ,8416.979
50,79,Sn,133.8,B-,100, , , , ,8392.818
50,80,Sn,223.2,B-,100, , , , ,8386.816
50,81,Sn,56,B-,100, , , , ,8362.517
50,82,Sn,39.7,B-,100, , , , ,8354.872
50,83,Sn,1.46,B-,100,B-N,0.0294, , ,8310.088
50,84,Sn,1.05,B-,100,B-N,17, , ,8275.171
50,85,Sn,0.515,B-,100,B-N,21,B-2N, ,8230.687
50,86,Sn,0.29,B-,100,B-N,28,B-2N, ,8195
50,87,Sn,0.19,B-,100,B-N,58, , ,8149
50,88,SN,0.14,B-,100,B-N,36,B-2N, ,8113
50,89,Sn,0.13,B-,100,B-3N, ,B-2N, ,8066
51,52,SB,0.000000049,P, , , , , ,8229
51,53,Sb,0.44,EC+B+,100,ECP,7,P,1,8256.644
51,54,Sb,1.22,EC+B+,99,P,1, , ,8300.992
51,55,Sb,0.6,EC+B+, , , , , ,8322.012
51,56,Sb,4,EC+B+,100, , , , ,8358.734
51,57,Sb,7.4,EC+B+,100, , , , ,8372.666
51,58,Sb,17.2,EC+B+,100, , , , ,8404.815
51,59,Sb,23.6,EC+B+,100, , , , ,8412.681
51,60,Sb,75,EC+B+,100, , , , ,8440.12
51,61,Sb,53.5,EC+B+,100, , , , ,8443.632
51,62,Sb,400.2,EC+B+,100, , , , ,8465.275
51,63,Sb,209.4,EC+B+,100, , , , ,8462.518
51,64,Sb,1926,EC+B+,100, , , , ,8480.915
51,65,Sb,948,EC+B+,100, , , , ,8475.821
51,66,Sb,10080,EC+B+,100,B+,1.7, , ,8487.897
51,67,Sb,216,EC+B+,100, , , , ,8478.915
51,68,Sb,137484,EC,100, , , , ,8487.91
51,69,Sb,953.4,EC+B+,100, , , , ,8475.635
51,70,Sb, , , , , , , ,8482.066
51,71,Sb,235336.32,B-,97.59,EC+B+,2.41, , ,8468.331
51,72,Sb, , , , , , , ,8472.328
51,73,Sb,5201280,B-,100, , , , ,8456.16
51,74,Sb,87051673.7164705,B-,100, , , , ,8458.17
51,75,Sb,1067040,B-,100, , , , ,8440.314
51,76,Sb,332640,B-,100, , , , ,8439.82
51,77,Sb,32580,B-,100, , , , ,8420.775
51,78,Sb,15717.6,B-,100, , , , ,8418.058
51,79,Sb,2370,B-,100, , , , ,8397.363
51,80,Sb,1381.8,B-,100, , , , ,8392.552
51,81,Sb,167.4,B-,100, , , , ,8372.344
51,82,Sb,140.4,B-,100, , , , ,8364.729
51,83,Sb,0.78,B-,100, , , , ,8325.95
51,84,Sb,1.679,B-,100,B-N,22, , ,8291.989
51,85,Sb,0.923,B-,100,B-N,16.3, , ,8252.252
51,86,Sb,0.45,B-,100,B-N,49, , ,8218.476
51,87,Sb,0.348,B-N,72,B-2N, ,B-, ,8175.091
51,88,Sb,0.093,B-,100,B-N,90,B-3N, ,8142
51,89,SB,0.000000407,B-2N, ,B-N, ,B-, ,8100
52,53,Te,0.00000062,A,100, , , , ,8186.836
52,54,Te,0.00007,A,100, , , , ,8236.767
52,55,Te,0.0031,A,70,EC+B+,30, , ,8256.899
52,56,Te,2.1,EC+B+,51,A,49,B+P,2.4,8303.721
52,57,Te,4.4,EC+B+,96.1,B+P,9.4,A,3.9,8319.33
52,58,Te,18.6,EC+B+,100,A,0.00067, , ,8358.115
52,59,Te,19.3,EC+B+,100,B+P, , , ,8367.763
52,60,Te,120,EC+B+,100, , , , ,8400.652
52,61,Te,102,EC+B+,100, , , , ,8404.636
52,62,Te,912,EC+B+,100, , , , ,8432.778
52,63,Te,348,EC+B+,100, , , , ,8431.15
52,64,Te,8964,EC+B+,100, , , , ,8455.687
52,65,Te,3720,EC+B+,100,B+,25, , ,8450.919
52,66,Te,518400,EC,100, , , , ,8469.746
52,67,Te,57780,EC+B+,100,B+,2.06, , ,8462.066
52,68,Te, , , , , , , ,8477.034
52,69,Te,1656288,EC+B+,100, , , , ,8466.883
52,70,Te, , , , , , , ,8478.14
52,71,Te,2.90323718966246E+024,EC,100, , , , ,8465.546
52,72,Te, , , , , , , ,8473.279
52,73,Te, , , , , , , ,8458.045
52,74,Te, , , , , , , ,8463.248
52,75,Te,33660,B-,100, , , , ,8446.118
52,76,Te,2.42988330004358E+032,2B-,100, , , , ,8448.752
52,77,Te,4176,B-,100, , , , ,8430.409
52,78,Te,2.49299715199277E+028,2B-,100, , , , ,8430.324
52,79,Te,1500,B-,100, , , , ,8411.233
52,80,Te,276825.6,B-,100, , , , ,8408.485
52,81,Te,750,B-,100, , , , ,8389.025
52,82,Te,2508,B-,100, , , , ,8383.643
52,83,Te,19,B-,100, , , , ,8345.738
52,84,Te,17.63,B-,100,B-N,1.31, , ,8319.429
52,85,Te,2.49,B-,100,B-N,2.99, , ,8280.235
52,86,Te,1.4,B-,100,B-N,6.3, , ,8252.578
52,87,Te,1.6,B-,100,B-N, , , ,8211.771
52,91,TE,0.000000408,B-2N, ,B-N, ,B-, ,8068
53,55,I,0.036,A,91,EC+B+,9,P,1,8174.884
53,56,I,0.0000928,P,99.986,A,0.014, , ,8220.016
53,57,I,0.664,EC+B+,83,A,17,ECP,11,8244.043
53,58,I,2.5,EC+B+,99.9,A,0.1, , ,8282.934
53,59,I,3.34,EC+B+,100,ECP,0.88,ECA,0.104,8299.879
53,60,I,6.6,EC+B+,100,A,0.000000331, , ,8333.752
53,61,I,2.1,EC+B+,100,B+P, , , ,8346
53,62,I,78,EC+B+,100, , , , ,8374.564
53,63,I,2.91,EC+B+,100, , , , ,8381.902
53,64,I,133.2,EC+B+,100,B+,77, , ,8404.409
53,65,I,822,EC+B+,100, , , , ,8406.12
53,66,I,1146,EC+B+,100,B+,51,EC,49,8426.789
53,67,I,4896,EC+B+,100, , , , ,8423.722
53,68,I,7632,EC+B+,100, , , , ,8441.458
53,69,I,217.8,EC+B+,100, , , , ,8437.023
53,70,I,47604.6,EC+B+,100, , , , ,8449.198
53,71,I,360806.4,EC+B+,100, , , , ,8441.489
53,72,I,5132764.8,EC,100, , , , ,8450.3
53,73,I,1117152,EC+B+,52.7,B-,47.3, , ,8439.944
53,74,I, , , , , , , ,8445.487
53,75,I,1499.4,B-,93.1,EC+B+,6.9, , ,8432.836
53,76,I,495443737801094,B-,100, , , , ,8435.99
53,77,I,44496,B-,100, , , , ,8421.1
53,78,I,693377.28,B-,100, , , , ,8422.297
53,79,I,8262,B-,100, , , , ,8406.462
53,80,I,74988,B-,100, , , , ,8405.106
53,81,I,3150,B-,100, , , , ,8389.071
53,82,I,23688,B-,100, , , , ,8384.76
53,83,I,83.4,B-,100, , , , ,8351.323
53,84,I,24.5,B-,100,B-N,7.14, , ,8326.002
53,85,I,6.26,B-,100,B-N,5.44, , ,8292.444
53,86,I,2.28,B-,100,B-N,10, , ,8265.609
53,87,I,0.86,B-,100,B-N,9.3, , ,8229.473
53,88,I,0.43,B-,100,B-N,21.2, , ,8202.255
53,89,I,0.222,B-,75,B-N,25, , ,8165.019
53,90,I,0.13,B-,100, , , , ,8135
53,91,I,0.0000003,B-,60,B-N,40, , ,8098
53,92,I,0.000000407,B-, ,B-N, , , ,8068
54,55,XE,0.013,A,100, , , , ,8107.306
54,56,Xe,0.093,A,64,EC+B+,36,ECP, ,8159.28
54,57,Xe,0.74,A,8,EC+B+, , , ,8180.766
54,58,Xe,2.7,EC+B+,98.8,A,1.2, , ,8230.064
54,59,Xe,2.74,EC+B+,100,ECP,7,A,0.011,8247.927
54,60,Xe,10,EC+B+,100, , , , ,8289.205
54,61,Xe,18,EC+B+,100,B+P,0.34,A,0.0003,8300.97
54,62,Xe,59,EC+B+,100, , , , ,8336.834
54,63,Xe,61,EC+B+,100,B+P,0.0029, , ,8344.297
54,64,Xe,228,EC+B+,100, , , , ,8374.981
54,65,Xe,348,EC+B+,100, , , , ,8378.441
54,66,Xe,2400,EC+B+,100, , , , ,8404.031
54,67,Xe,2406,EC+B+,100, , , , ,8403.832
54,68,Xe,72360,EC,100, , , , ,8424.664
54,69,Xe,7488,EC+B+,100, , , , ,8420.927
54,70,Xe,5.04910815593472E+021,2B+, , , , , ,8437.565
54,71,Xe,60840,EC+B+,100, , , , ,8430.89
54,72,Xe, , , , , , , ,8443.541
54,73,Xe,3140294.4,EC,100, , , , ,8434.111
54,74,Xe, , , , , , , ,8443.298
54,75,Xe, , , , , , , ,8431.39
54,76,Xe, , , , , , , ,8437.731
54,77,Xe, , , , , , , ,8423.736
54,78,Xe, , , , , , , ,8427.622
54,79,Xe,453384,B-,100, , , , ,8412.647
54,80,Xe,1.83030170652634E+030,2B-,0, , , , ,8413.699
54,81,Xe,32904,B-,100, , , , ,8398.476
54,82,Xe,1.13604933508531E+028,2B-, , , , , ,8396.188
54,83,Xe,229.08,B-,100, , , , ,8364.286
54,84,Xe,848.4,B-,100, , , , ,8344.69
54,85,Xe,39.68,B-,100, , , , ,8311.59
54,86,Xe,13.6,B-,100, , , , ,8290.887
54,87,Xe,1.73,B-,100,B-N,0.044, , ,8255.364
54,88,Xe,1.23,B-,100,B-N,0.21, , ,8233.169
54,89,Xe,0.511,B-,100,B-N,0, , ,8196.885
54,90,Xe,1.15,B-,100, , , , ,8172.884
54,91,Xe,0.188,B-,100,B-N,5, , ,8135.087
54,92,Xe,0.146,B-,100,B-N,6.9, , ,8110.415
54,93,XE,0.1,B-N,8,B-, , , ,8072
54,94,XE,0.0000004,B-N, ,B-, , , ,8047
55,57,Cs,0.00049,P,100,A,0.26, , ,8100.435
55,58,Cs,0.0000177,P,100, , , , ,8148.622
55,59,Cs,0.57,EC+B+,99.982,ECP,8.7,ECA,0.19,8173.538
55,60,Cs,1.4,EC+B+,100,B+P,0.07, , ,8216
55,61,Cs,0.7,EC+B+,100,ECP,2.8,ECA,0.049,8235
55,62,Cs,8.4,EC+B+,100, , , , ,8271.864
55,63,Cs,14,EC+B+,100,ECP,0.042,ECA,0.0024,8286.404
55,64,Cs,43,EC+B+,100, , , , ,8317.334
55,65,Cs,61.3,EC+B+,100,B+A,0.00002,B+P,0.000007,8328.48
55,66,Cs,155,EC+B+,100, , , , ,8352.914
55,67,Cs,21.18,EC+B+,100, , , , ,8359.151
55,68,Cs,352.8,EC+B+,100, , , , ,8380.379
55,69,Cs,30.9,EC+B+,100, , , , ,8383.432
55,70,Cs,2802,EC+B+,100, , , , ,8399.788
55,71,Cs,98.4,EC+B+,100, , , , ,8399.268
55,72,Cs,22500,EC+B+,100, , , , ,8411.562
55,73,Cs,218.4,EC+B+,100, , , , ,8406.493
55,74,Cs,115416,EC+B+,100, , , , ,8416.047
55,75,Cs,1752.6,EC+B+,98.4,B-,1.6, , ,8408.784
55,76,Cs,837129.6,EC,100, , , , ,8415.056
55,77,Cs,559872,EC+B+,98.13,B-,1.87, , ,8405.587
55,78,Cs, , , , , , , ,8409.978
55,79,Cs,65171363.5227274,B-,99.9997,EC,0.0003, , ,8398.646
55,80,Cs,72580929741561.6,B-,100, , , , ,8401.336
55,81,Cs,1137024,B-,100, , , , ,8389.77
55,82,Cs,949232333.315727,B-,100, , , , ,8388.956
55,83,Cs,1950,B-,100, , , , ,8360.142
55,84,Cs,556.2,B-,100, , , , ,8342.338
55,85,Cs,63.7,B-,100, , , , ,8314.325
55,86,Cs,24.84,B-,100,B-N,0.035, , ,8294.356
55,87,Cs,1.684,B-,100,B-N,0.09, , ,8264.877
55,88,Cs,1.791,B-,100,B-N,1.64, , ,8243.67
55,89,Cs,0.994,B-,100,B-N,3.03, , ,8211.889
55,90,Cs,0.587,B-,100,B-N,14.7, , ,8188.733
55,91,Cs,0.322,B-,100,B-N,14.2, , ,8155.436
55,92,Cs,0.23,B-,100,B-N,28.5, , ,8131.8
55,93,Cs,0.146,B-,100,B-N,25.1, , ,8097.546
55,94,Cs,0.113,B-,100,B-N, , , ,8073
55,95,Cs,0.084,B-,100,B-N,20, , ,8039
55,96,Cs,0.069,B-,100,B-N, , , ,8013
55,97,Cs,0.05,B-,100,B-2N, ,B-N, ,7979
56,58,Ba,0.43,EC+B+,99.1,ECP,20,A,0.9,8089.686
56,59,Ba,0.45,EC+B+,100,B+P,15, , ,8117
56,60,Ba,1.3,EC+B+,100,B+P,3, , ,8164
56,61,Ba,1.75,EC+B+,100,B+A,0,B+P,0,8187.953
56,62,Ba,5.5,EC+B+,100,ECP, , , ,8228
56,63,Ba,5.4,EC+B+,100,ECP,25, , ,8245.928
56,64,Ba,24,EC+B+,100, , , , ,8280.294
56,65,Ba,29.7,EC+B+,100, , , , ,8293.907
56,66,Ba,117,EC+B+,100, , , , ,8323.756
56,67,Ba,162,EC+B+,100, , , , ,8330.208
56,68,Ba,660,EC+B+,100, , , , ,8355.82
56,69,Ba,198,EC+B+,100, , , , ,8358.178
56,70,Ba,6000,EC+B+,100, , , , ,8379.718
56,71,Ba,762,EC+B+,100, , , , ,8378.455
56,72,Ba,209952,EC,100, , , , ,8396.06
56,73,Ba,8028,EC+B+,100, , , , ,8391.098
56,74,Ba, , , , , , , ,8405.549
56,75,Ba,993600,EC+B+,100, , , , ,8398.587
56,76,Ba,9.4670777923776E+028,2B+, , , , , ,8409.375
56,77,Ba,332957125.95792,EC,100, , , , ,8400.206
56,78,Ba, , , , , , , ,8408.171
56,79,Ba, , , , , , , ,8397.533
56,80,Ba, , , , , , , ,8402.755
56,81,Ba, , , , , , , ,8391.827
56,82,Ba, , , , , , , ,8393.42
56,83,Ba,4975.8,B-,100, , , , ,8367.017
56,84,Ba,1101833.28,B-,100, , , , ,8353.16
56,85,Ba,1096.2,B-,100, , , , ,8326.078
56,86,Ba,636,B-,100, , , , ,8310.971
56,87,Ba,14.5,B-,100, , , , ,8281.987
56,88,Ba,11.5,B-,100, , , , ,8265.454
56,89,Ba,4.31,B-,100, , , , ,8234.798
56,90,Ba,2.21,B-,100, , , , ,8216.082
56,91,Ba,0.894,B-,100,B-N,0.06, , ,8183.24
56,92,Ba,0.612,B-,100,B-N,0.4, , ,8164.441
56,93,Ba,0.344,B-,100,B-N,0.43, , ,8133.793
56,94,Ba,0.259,B-,100,B-N, , , ,8112
56,95,Ba,0.167,B-,100,B-N, , , ,8079
56,96,BA,0.139,B-,100,B-N, , , ,8057
56,97,Ba,0.12,B-,100,B-N, , , ,8023
56,98,Ba,0.053,B-,100,B-N, , , ,8000
57,60,La,0.0235,P,93.9,EC+B+,6.1, , ,8087
57,63,La,2.8,EC+B+,100,ECP,0, , ,8179
57,64,La,5.3,EC+B+,100, , , , ,8217
57,65,La,8.6,EC+B+,100,ECP, , , ,8235
57,66,La,17,EC+B+,100, , , , ,8267
57,67,La,21,EC+B+,100, , , , ,8278.292
57,68,La,64.8,EC+B+,100, , , , ,8304.643
57,69,La,54,EC+B+,0, , , , ,8312.426
57,70,La,306,EC+B+,100, , , , ,8333.54
57,71,La,310.8,EC,100, , , , ,8337.19
57,72,La,696,EC+B+,100, , , , ,8356.052
57,73,La,522,EC+B+,100, , , , ,8356.191
57,74,La,3540,EC+B+,100, , , , ,8370.367
57,75,La,17280,EC+B+,100, , , , ,8367.756
57,76,La,14083.2,EC+B+,100, , , , ,8378.841
57,77,La,387,EC+B+,100, , , , ,8374.488
57,78,La,70200,EC+B+,100, , , , ,8382.795
57,79,La,592.2,EC+B+,100, , , , ,8376.05
57,80,La,1893415558475.52,EC,100, , , , ,8381.879
57,81,La,3.25036337538298E+018,EC+B+,65.5,B-,34.5, , ,8375.125
57,82,La, , , , , , , ,8378.025
57,83,La,145026.72,B-,100, , , , ,8355.047
57,84,La,14112,B-,100, , , , ,8343.217
57,85,La,5466,B-,100, , , , ,8320.828
57,86,La,852,B-,100, , , , ,8306.127
57,87,La,40.8,B-,100, , , , ,8281.428
57,88,La,24.8,B-,100, , , , ,8266.087
57,89,La,6.1,B-,100,B-N,0.007, , ,8238.828
57,90,La,4.06,B-,100,B-N,0.041, , ,8221.553
57,91,La,1.26,B-,100,B-N,0.15, , ,8193.716
57,92,La,1.05,B-,100,B-N,1.43, , ,8176.191
57,93,La,0.59,B-,100,B-N,2.7, , ,8148.225
57,94,La,0.457,B-,100,B-N, , , ,8129.043
57,95,La,0.298,B-,100,B-N, , , ,8102
57,96,La,0.245,B-,100,B-N, , , ,8081
57,97,La,0.161,B-,100,B-N, , , ,8051
57,98,La,0.101,B-,100,B-N, , , ,8028
57,99,La,0.084,B-,100,B-N, , , ,7997
58,63,Ce,1.1,EC+B+,100,ECP,1, , ,8132
58,65,Ce,3.8,EC+B+,100,ECP,0, , ,8193
58,66,Ce,6,EC+B+,100, , , , ,8229
58,67,Ce,9.7,EC+B+,100,B+P, , , ,8242
58,68,Ce,51,EC+B+,100, , , , ,8273.257
58,69,Ce,34,EC+B+,100, , , , ,8280.791
58,70,Ce,235.8,EC+B+,100, , , , ,8306.925
58,71,Ce,210,EC+B+,100, , , , ,8310.94
58,72,Ce,1374,EC+B+,100, , , , ,8333.216
58,73,Ce,618,EC+B+,100,B+,11, , ,8333.396
58,74,Ce,12636,EC+B+,100, , , , ,8352.338
58,75,Ce,5820,EC+B+,100, , , , ,8349.829
58,76,Ce,273024,EC,100, , , , ,8365.771
58,77,Ce,63720,EC+B+,100, , , , ,8361.984
58,78,Ce,2.20898481822144E+021,2EC, , , , , ,8373.76
58,79,Ce,32400,EC+B+,100, , , , ,8367.248
58,80,Ce,1.38850474288205E+024,2EC,100, , , , ,8377.077
58,81,Ce,11891232,EC,100, , , , ,8370.395
58,82,Ce, , , , , , , ,8376.317
58,83,Ce,2808950.4,B-,100, , , , ,8355.408
58,84,Ce,1.5778462987296E+024,A,100, , , , ,8347.071
58,85,Ce,118940.4,B-,100, , , , ,8324.678
58,86,Ce,24616224,B-,100, , , , ,8314.76
58,87,Ce,180.6,B-,100, , , , ,8289.875
58,88,Ce,809.4,B-,100, , , , ,8278.573
58,89,Ce,56.4,B-,100, , , , ,8252.527
58,90,Ce,56.8,B-,100, , , , ,8240.387
58,91,Ce,5.3,B-,100, , , , ,8214.229
58,92,Ce,4,B-,100, , , , ,8201.122
58,93,Ce,1.76,B-,100, , , , ,8176.277
58,94,Ce,1.4,B-,100, , , , ,8161
58,95,Ce,0.865,B-,100,B-N, , , ,8134
58,96,Ce,0.722,B-,100,B-N, , , ,8116
58,97,Ce,0.313,B-,100,B-N, , , ,8087
58,98,Ce,0.233,B-,100,B-N, , , ,8068
58,99,Ce,0.18,B-,100,B-N, , , ,8037
58,100,Ce,0.099,B-,100,B-N, , , ,8016
59,62,Pr,0.01,P,100, , , , ,8032
59,65,Pr,1.2,EC+B+,100,ECP,0, , ,8128
59,66,Pr,3.3,EC+B+,100,B+P, , , ,8166
59,67,Pr,3.14,EC+B+,100,ECP, , , ,8184
59,68,Pr,4.2,EC+B+,100, , , , ,8216
59,69,Pr,2.84,EC+B+,100, , , , ,8228.913
59,70,Pr,30,EC+B+,100, , , , ,8254.38
59,71,Pr,40,EC+B+,100, , , , ,8263.756
59,72,Pr,90.6,EC+B+,100, , , , ,8286.143
59,73,Pr,96,EC+B+,100, , , , ,8291.537
59,74,Pr,390,EC+B+,100, , , , ,8310.258
59,75,Pr,1020,EC+B+,100, , , , ,8312.881
59,76,Pr,1440,EC+B+,100, , , , ,8328.928
59,77,Pr,786,EC+B+,100, , , , ,8330.008
59,78,Pr,4608,EC+B+,100, , , , ,8341.706
59,79,Pr,87,EC+B+,100, , , , ,8339.255
59,80,Pr,15876,EC+B+,100, , , , ,8349.449
59,81,Pr,203.4,EC+B+,100, , , , ,8346.529
59,82,Pr, , , , , , , ,8353.992
59,83,Pr,68832,B-,99.9836,EC,0.0164, , ,8336.31
59,84,Pr,1172448,B-,100, , , , ,8329.428
59,85,Pr,1036.8,B-,100, , , , ,8311.54
59,86,Pr,21542.4,B-,100, , , , ,8302.127
59,87,Pr,1445.4,B-,100, , , , ,8280.376
59,88,Pr,804,B-,100, , , , ,8270.539
59,89,Pr,137.4,B-,100, , , , ,8249.54
59,90,Pr,135.6,B-,100, , , , ,8238.303
59,91,Pr,6.19,B-,100, , , , ,8218.931
59,92,Pr,18.9,B-,100, , , , ,8207.881
59,93,Pr,3.57,B-,100, , , , ,8187.104
59,94,Pr,4.28,B-,100, , , , ,8172.036
59,95,Pr,2.3,B-,100, , , , ,8148.892
59,96,Pr,1.47,B-,100,B-N, , , ,8131.039
59,97,Pr,0.444,B-,100,B-N, , , ,8106
59,98,Pr,0.295,B-,100,B-N, , , ,8086
59,99,Pr,0.181,B-,100,B-N, , , ,8060
59,100,Pr,0.13,B-,100,B-N, , , ,8039
59,101,Pr,0.17,B-,100,B-N, , , ,8011
60,65,Nd,0.65,EC+B+,100,ECP,0, , ,8077
60,67,Nd,1.8,EC+B+,100,ECP, , , ,8139
60,68,Nd,5,EC+B+,100,ECP, , , ,8176
60,69,Nd,6.7,EC+B+,100,ECP,0, , ,8190
60,70,Nd,13,EC+B+,100, , , , ,8222.513
60,71,Nd,25.4,EC+B+,100,ECP,0, , ,8230.304
60,72,Nd,94,EC+B+,100, , , , ,8256.81
60,73,Nd,70,EC+B+,100, , , , ,8262.231
60,74,Nd,510,EC+B+,100, , , , ,8285.538
60,75,Nd,744,EC+B+,100, , , , ,8288.153
60,76,Nd,3039,EC+B+,100, , , , ,8308.512
60,77,Nd,2310,EC+B+,100, , , , ,8309.593
60,78,Nd,18144,EC+B+,100, , , , ,8325.502
60,79,Nd,1782,EC+B+,100, , , , ,8323.642
60,80,Nd,291168,EC,100, , , , ,8337.875
60,81,Nd,8964,EC+B+,100, , , , ,8335.515
60,82,Nd, , , , , , , ,8346.03
60,83,Nd, , , , , , , ,8330.488
60,84,Nd,7.22653604818157E+022,A,100, , , , ,8326.922
60,85,Nd, , , , , , , ,8309.187
60,86,Nd, , , , , , , ,8304.092
60,87,Nd,948672,B-,100, , , , ,8283.603
60,88,Nd, ,2B-, , , , , ,8277.177
60,89,Nd,6220.8,B-,100, , , , ,8255.442
60,90,Nd,2.87168026368787E+026,2B-,100, , , , ,8249.577
60,91,Nd,746.4,B-,100, , , , ,8230.272
60,92,Nd,684,B-,100, , , , ,8224.005
60,93,Nd,31.6,B-,100, , , , ,8204.582
60,94,Nd,25.9,B-,100, , , , ,8193.942
60,95,Nd,8.9,B-,100, , , , ,8170.304
60,96,Nd,5.26,B-,100, , , , ,8158.066
60,97,Nd,1.15,B-,100, , , , ,8131.959
60,98,Nd,0.82,B-,100,B-N, , , ,8116
60,99,Nd,0.485,B-,100,B-N, , , ,8089
60,100,Nd,0.44,B-,100,B-N, , , ,8073
60,101,Nd,0.22,B-,100,B-N, , , ,8044
60,102,Nd,0.31,B-,100,B-N, , , ,8026
61,67,Pm,1,EC,100,A, ,ECP, ,8072
61,68,PM,2.4,EC+B+,100,P, ,ECP, ,8111
61,69,Pm,2.6,EC+B+,100,ECP, , , ,8130
61,70,Pm,6.3,EC+B+,100, , , , ,8162
61,71,Pm,6.2,EC+B+,100,ECP,0.00005, , ,8177
61,72,Pm,13.5,EC+B+,100, , , , ,8204.283
61,73,Pm,5,EC+B+,100, , , , ,8213.225
61,74,Pm,49,EC+B+,100, , , , ,8236.717
61,75,Pm,47,EC+B+,100, , , , ,8243.72
61,76,Pm,144,EC+B+,100, , , , ,8263.651
61,77,Pm,10,EC+B+,100, , , , ,8268.544
61,78,Pm,249,EC+B+,100, , , , ,8285.543
61,79,Pm,9.2,EC+B+,100, , , , ,8289.107
61,80,Pm,1254,EC+B+,100, , , , ,8303.94
61,81,Pm,40.5,EC+B+,100, , , , ,8306.662
61,82,Pm,22896000,EC+B+,100,B+,0.0000057, , ,8317.733
61,83,Pm,31363200,EC+B+,100, , , , ,8305.296
